,CH1
Second,Volt
2.00000e-04,4.72e-01, 
2.01000e-04,4.00e-01, 
2.02000e-04,4.00e-01, 
2.03000e-04,8.00e-03, 
2.04000e-04,4.80e-02, 
2.05000e-04,-8.00e-03, 
2.06000e-04,-8.00e-03, 
2.07000e-04,3.60e-01, 
2.08000e-04,3.68e-01, 
2.09000e-04,4.64e-01, 
2.10000e-04,4.80e-01, 
2.11000e-04,3.92e-01, 
2.12000e-04,3.92e-01, 
2.13000e-04,1.60e-02, 
2.14000e-04,3.20e-02, 
2.15000e-04,-2.40e-02, 
2.16000e-04,8.00e-03, 
2.17000e-04,3.36e-01, 
2.18000e-04,3.28e-01, 
2.19000e-04,4.24e-01, 
2.20000e-04,4.24e-01, 
2.21000e-04,3.36e-01, 
2.22000e-04,3.52e-01, 
2.23000e-04,2.40e-02, 
2.24000e-04,4.00e-02, 
2.25000e-04,-8.00e-03, 
2.26000e-04,-1.60e-02, 
2.27000e-04,2.48e-01, 
2.28000e-04,2.56e-01, 
2.29000e-04,3.28e-01, 
2.30000e-04,3.36e-01, 
2.31000e-04,2.64e-01, 
2.32000e-04,2.56e-01, 
2.33000e-04,0.00e+00, 
2.34000e-04,2.40e-02, 
2.35000e-04,-3.20e-02, 
2.36000e-04,-8.00e-03, 
2.37000e-04,1.60e-01, 
2.38000e-04,1.44e-01, 
2.39000e-04,2.24e-01, 
2.40000e-04,2.08e-01, 
2.41000e-04,1.36e-01, 
2.42000e-04,1.60e-01, 
2.43000e-04,0.00e+00, 
2.44000e-04,-3.20e-02, 
2.45000e-04,2.40e-02, 
2.46000e-04,-3.20e-02, 
2.47000e-04,4.00e-02, 
2.48000e-04,4.00e-02, 
2.49000e-04,7.20e-02, 
2.50000e-04,8.00e-02, 
2.51000e-04,2.40e-02, 
2.52000e-04,-1.60e-02, 
2.53000e-04,2.40e-02, 
2.54000e-04,-3.20e-02, 
2.55000e-04,8.00e-03, 
2.56000e-04,0.00e+00, 
2.57000e-04,-8.80e-02, 
2.58000e-04,-6.40e-02, 
2.59000e-04,-9.60e-02, 
2.60000e-04,-8.80e-02, 
2.61000e-04,-1.20e-01, 
2.62000e-04,-1.20e-01, 
2.63000e-04,-8.00e-03, 
2.64000e-04,-5.60e-02, 
2.65000e-04,-8.00e-03, 
2.66000e-04,-8.00e-03, 
2.67000e-04,-2.08e-01, 
2.68000e-04,-1.76e-01, 
2.69000e-04,-2.32e-01, 
2.70000e-04,-2.56e-01, 
2.71000e-04,-2.24e-01, 
2.72000e-04,-2.48e-01, 
2.73000e-04,-4.80e-02, 
2.74000e-04,-8.00e-03, 
2.75000e-04,-4.80e-02, 
2.76000e-04,-3.20e-02, 
2.77000e-04,-2.88e-01, 
2.78000e-04,-2.88e-01, 
2.79000e-04,-3.60e-01, 
2.80000e-04,-3.60e-01, 
2.81000e-04,-3.20e-01, 
2.82000e-04,-3.44e-01, 
2.83000e-04,-6.40e-02, 
2.84000e-04,-7.20e-02, 
2.85000e-04,-2.40e-02, 
2.86000e-04,-3.20e-02, 
2.87000e-04,-3.52e-01, 
2.88000e-04,-3.60e-01, 
2.89000e-04,-4.32e-01, 
2.90000e-04,-4.40e-01, 
2.91000e-04,-3.92e-01, 
2.92000e-04,-3.92e-01, 
2.93000e-04,-6.40e-02, 
2.94000e-04,-7.20e-02, 
2.95000e-04,-2.40e-02, 
2.96000e-04,-4.80e-02, 
2.97000e-04,-3.92e-01, 
2.98000e-04,-3.84e-01, 
2.99000e-04,-4.72e-01, 
