,CH1
Second,Volt
-1.27800e-04,-2.08e-01, 
-1.26800e-04,-2.32e-01, 
-1.25800e-04,-2.08e-01, 
-1.24800e-04,-2.08e-01, 
-1.23800e-04,-1.68e-01, 
-1.22800e-04,-1.84e-01, 
-1.21800e-04,-2.64e-01, 
-1.20800e-04,-2.80e-01, 
-1.19800e-04,-3.20e-01, 
-1.18800e-04,-3.12e-01, 
-1.17800e-04,-2.72e-01, 
-1.16800e-04,-2.80e-01, 
-1.15800e-04,-2.48e-01, 
-1.14800e-04,-2.48e-01, 
-1.13800e-04,-2.16e-01, 
-1.12800e-04,-2.32e-01, 
-1.11800e-04,-3.04e-01, 
-1.10800e-04,-3.20e-01, 
-1.09800e-04,-3.44e-01, 
-1.08800e-04,-3.44e-01, 
-1.07800e-04,-3.04e-01, 
-1.06800e-04,-3.04e-01, 
-1.05800e-04,-2.80e-01, 
-1.04800e-04,-2.88e-01, 
-1.03800e-04,-2.48e-01, 
-1.02800e-04,-2.56e-01, 
-1.01800e-04,-3.20e-01, 
-1.00800e-04,-3.12e-01, 
-9.98000e-05,-3.44e-01, 
-9.88000e-05,-3.44e-01, 
-9.78000e-05,-3.04e-01, 
-9.68000e-05,-3.12e-01, 
-9.58000e-05,-2.72e-01, 
-9.48000e-05,-2.96e-01, 
-9.38000e-05,-2.64e-01, 
-9.28000e-05,-2.56e-01, 
-9.18000e-05,-2.96e-01, 
-9.08000e-05,-2.88e-01, 
-8.98000e-05,-3.20e-01, 
-8.88000e-05,-3.04e-01, 
-8.78000e-05,-2.72e-01, 
-8.68000e-05,-2.80e-01, 
-8.58000e-05,-2.56e-01, 
-8.48000e-05,-2.64e-01, 
-8.38000e-05,-2.24e-01, 
-8.28000e-05,-2.64e-01, 
-8.18000e-05,-2.24e-01, 
-8.08000e-05,-2.56e-01, 
-7.98000e-05,-2.32e-01, 
-7.88000e-05,-2.40e-01, 
-7.78000e-05,-2.08e-01, 
-7.68000e-05,-2.32e-01, 
-7.58000e-05,-2.00e-01, 
-7.48000e-05,-2.08e-01, 
-7.38000e-05,-1.76e-01, 
-7.28000e-05,-1.76e-01, 
-7.18000e-05,-1.60e-01, 
-7.08000e-05,-1.68e-01, 
-6.98000e-05,-1.28e-01, 
-6.88000e-05,-1.44e-01, 
-6.78000e-05,-1.20e-01, 
-6.68000e-05,-1.44e-01, 
-6.58000e-05,-1.20e-01, 
-6.48000e-05,-1.36e-01, 
-6.38000e-05,-1.12e-01, 
-6.28000e-05,-1.20e-01, 
-6.18000e-05,-6.40e-02, 
-6.08000e-05,-6.40e-02, 
-5.98000e-05,-3.20e-02, 
-5.88000e-05,-2.40e-02, 
-5.78000e-05,-4.80e-02, 
-5.68000e-05,-2.40e-02, 
-5.58000e-05,-4.80e-02, 
-5.48000e-05,-6.40e-02, 
-5.38000e-05,-2.40e-02, 
-5.28000e-05,-3.20e-02, 
-5.18000e-05,4.00e-02, 
-5.08000e-05,2.40e-02, 
-4.98000e-05,8.00e-02, 
-4.88000e-05,8.00e-02, 
-4.78000e-05,5.60e-02, 
-4.68000e-05,7.20e-02, 
-4.58000e-05,4.00e-02, 
-4.48000e-05,2.40e-02, 
-4.38000e-05,5.60e-02, 
-4.28000e-05,5.60e-02, 
-4.18000e-05,1.36e-01, 
-4.08000e-05,1.36e-01, 
